time_ms,rpm,tps,oil_pressure,temperature,turbo_pressure
2796,2538,0,2.365,76.60,-0.542
2808,2545,2,2.370,76.80,-0.592
2820,2365,0,2.286,77.00,-0.547
2832,2185,0,2.099,77.20,-0.419
2844,2213,8,2.202,77.40,-0.595
2856,2322,31,2.332,77.60,-0.535
2868,2142,0,2.219,77.80,-0.418
2880,2320,51,2.237,78.00,-0.404
2892,2338,5,2.286,78.20,-0.511
2904,2352,4,2.233,78.40,-0.535
2916,2172,0,2.255,78.60,-0.466
2928,2207,10,2.138,78.80,-0.436
2940,2027,0,2.093,79.00,-0.392
2952,2069,12,2.164,79.20,-0.415
2964,2412,98,2.266,79.40,-0.483
2976,2232,0,2.233,79.60,-0.474
2988,2438,59,2.360,79.80,-0.425
3000,2498,17,2.382,80.00,-0.588
3012,2550,15,2.422,80.20,-0.527
3024,2370,0,2.271,80.40,-0.535
3036,2426,16,2.336,80.60,-0.482
3048,2465,11,2.402,80.80,-0.491
3060,2689,64,2.525,81.00,-0.558
3072,2738,14,2.432,81.20,-0.575
3084,2558,0,2.416,81.40,-0.440
3096,2378,0,2.261,81.60,-0.468
3108,2413,10,2.345,81.80,-0.579
3120,2462,14,2.365,82.00,-0.592
3132,2497,10,2.345,82.20,-0.438
3144,2317,0,2.343,82.40,-0.487
3156,2324,2,2.268,82.60,-0.550
3168,2144,0,2.137,82.80,-0.478
3180,2207,18,2.319,83.00,-0.422
3192,2511,87,2.319,83.20,-0.601
3204,2331,0,2.318,83.40,-0.519
3216,2380,14,2.295,83.60,-0.496
3228,2200,0,2.219,83.80,-0.531
3240,2020,0,2.093,84.00,-0.540
3252,2045,7,2.065,84.20,-0.460
3264,2066,6,2.174,84.40,-0.549
3276,2069,1,2.181,84.60,-0.551
3288,2125,16,2.230,84.80,-0.567
3300,2181,16,2.211,85.00,-0.444
3312,2001,0,2.187,85.20,-0.451
3324,2036,10,2.184,85.20,-0.514
3336,2040,1,2.110,85.20,-0.561
3348,2068,8,2.254,85.20,-0.560
3360,2089,6,2.234,85.20,-0.507
3372,2099,3,2.117,85.20,-0.594
3384,2222,35,2.274,85.20,-0.519
3396,2264,12,2.288,85.20,-0.425
3408,2274,3,2.236,85.20,-0.465
3420,2295,6,2.230,85.20,-0.567
3432,2579,81,2.494,85.20,-0.580
3444,2694,33,2.539,85.20,-0.234
3456,2747,15,2.463,85.20,-0.584
3468,2799,15,2.652,85.20,-0.448
3480,3062,75,2.726,85.20,-0.055
3492,2882,0,2.595,85.20,-0.543
3504,3102,63,2.724,85.20,-0.179
3516,3137,10,2.760,85.20,-0.575
3528,3172,10,2.707,85.20,-0.497
3540,3221,14,2.755,85.20,-0.490
3552,3249,8,2.767,85.20,-0.422
3564,3533,81,2.929,85.20,-0.080
3576,3536,1,2.957,85.20,-0.526
3588,3771,67,3.066,85.20,-0.152
3600,3837,19,3.180,85.20,-0.564
3612,3657,0,2.926,85.20,-0.470
3624,3703,13,2.931,85.20,-0.586
3636,3752,14,3.169,85.20,-0.538
3648,3769,5,3.085,85.20,-0.396
3660,3589,0,2.963,85.20,-0.479
3672,3845,73,3.169,85.20,-0.114
3684,3852,2,3.149,85.20,-0.543
3696,4149,85,3.363,85.20,-0.163
3708,4259,76,3.324,85.20,0.210
3720,4079,0,3.243,85.20,-0.595
3732,3899,0,3.132,85.20,-0.539
3744,3934,10,3.194,85.20,-0.501
3756,3980,13,3.140,85.20,-0.442
3768,4029,14,3.168,85.20,-0.541
3780,3849,0,3.152,85.20,-0.580
3792,4080,66,3.176,85.20,-0.198
3804,3900,0,3.017,85.20,-0.593
3816,3952,15,3.174,85.20,-0.413
3828,3772,0,3.088,85.20,-0.474
3840,3592,0,2.981,85.20,-0.597
3852,3757,47,3.006,85.20,-0.208
3864,3788,9,3.103,85.20,-0.525
3876,3851,18,3.139,85.20,-0.503
3888,3671,0,2.963,85.20,-0.393
3900,3867,56,3.163,85.20,-0.043
3912,3909,12,3.172,85.20,-0.557
3924,4217,88,3.341,85.20,-0.208
3936,4269,43,3.397,85.20,0.179
3948,4325,16,3.410,85.20,-0.522
3960,4360,10,3.409,85.20,-0.482
3972,4364,1,3.394,85.20,-0.547
3984,4374,3,3.469,85.20,-0.485
3996,4392,5,3.441,85.20,-0.573
4008,4212,0,3.311,85.20,-0.542
4020,4032,0,3.185,85.20,-0.526
4032,4095,18,3.248,85.20,-0.524
4044,4280,53,3.311,85.20,-0.137
4056,4305,7,3.417,85.20,-0.505
4068,4125,0,3.357,85.20,-0.469
4080,3945,0,3.140,85.20,-0.412
4092,3765,0,3.114,85.20,-0.600
4104,3772,2,3.002,85.20,-0.504
4116,3810,11,3.087,85.20,-0.481
4128,4132,92,3.282,85.20,-0.112
4140,4195,18,3.326,85.20,-0.505
4152,4213,5,3.375,85.20,-0.481
4164,4033,0,3.214,85.20,-0.584
4176,4064,9,3.300,85.20,-0.423
4188,4127,18,3.303,85.20,-0.432
4200,3947,0,3.244,85.20,-0.567
4212,4000,15,3.236,85.20,-0.597
4224,4140,40,3.347,85.20,-0.220
4236,4182,12,3.297,85.20,-0.570
4248,4002,0,3.167,85.20,-0.547
4260,4180,51,3.353,85.20,-0.181
4272,4000,0,3.210,85.20,-0.506
4284,3820,0,3.074,85.20,-0.387
4296,3827,2,3.034,85.20,-0.483
4308,3852,7,3.125,85.20,-0.552
4320,3672,0,3.153,85.20,-0.435
4332,3738,19,3.086,85.20,-0.582
4344,3805,19,3.171,85.20,-0.518
4356,3962,45,3.138,85.20,-0.157
4368,4011,14,3.287,85.20,-0.560
4380,4232,63,3.326,85.20,-0.177
4392,4288,16,3.399,85.20,-0.444
4404,4592,87,3.529,85.35,-0.070
4416,4652,17,3.711,85.50,-0.417
4428,4662,3,3.532,85.65,-0.463
4440,4715,15,3.638,85.80,-0.555
4452,4535,0,3.443,85.95,-0.441
4464,4570,10,3.556,86.10,-0.427
4476,4390,0,3.425,86.10,-0.487
4488,4210,0,3.415,86.10,-0.429
4500,4248,11,3.427,86.10,-0.538
4512,4315,19,3.447,86.10,-0.473
4524,4135,0,3.339,86.10,-0.576
4536,4296,46,3.475,86.10,-0.206
4548,4320,7,3.319,86.10,-0.480
4560,4527,59,3.457,86.25,-0.098
4572,4530,1,3.493,86.40,-0.507
4584,4716,53,3.683,86.55,-0.110
4596,4849,79,3.683,86.70,0.233
4608,4669,0,3.563,86.85,-0.542
4620,4489,0,3.471,86.85,-0.399
4632,4692,58,3.628,87.00,-0.037
4644,4713,6,3.667,87.15,-0.564
4656,4734,6,3.685,87.30,-0.442
4668,4745,3,3.670,87.45,-0.508
4680,4565,0,3.515,87.60,-0.562
4692,4705,40,3.555,87.75,-0.190
4704,4743,33,3.705,87.90,0.164
4716,4796,15,3.609,88.05,-0.566
4728,4616,0,3.662,88.20,-0.435
4740,4436,0,3.471,88.20,-0.547
4752,4611,50,3.569,88.35,-0.183
4764,4639,8,3.546,88.50,-0.439
4776,4459,0,3.557,88.50,-0.420
4788,4525,19,3.528,88.65,-0.532
4800,4564,11,3.546,88.80,-0.492
4812,4574,3,3.590,88.95,-0.555
4824,4394,0,3.463,88.95,-0.448
4836,4450,16,3.505,88.95,-0.413
4848,4270,0,3.285,88.95,-0.481
4860,4305,10,3.341,88.95,-0.397
4872,4431,36,3.461,88.95,-0.042
4884,4251,0,3.402,88.95,-0.451
4896,4071,0,3.222,88.95,-0.519
4908,4246,50,3.418,88.95,-0.144
4920,4066,0,3.263,88.95,-0.595
4932,4080,4,3.305,88.95,-0.584
4944,4112,9,3.318,88.95,-0.464
4956,4161,14,3.262,88.95,-0.542
4968,3981,0,3.262,88.95,-0.557
4980,3801,0,3.151,88.95,-0.498
4992,3621,0,3.013,88.95,-0.424
5004,3441,0,2.837,88.95,-0.480
5016,3261,0,2.814,88.95,-0.447
5028,3299,11,2.931,88.95,-0.497
5040,3541,69,2.958,88.95,-0.123
5052,3651,69,3.048,88.95,0.231
5064,3686,36,3.138,88.95,0.135
5076,3506,0,2.963,88.95,-0.414
5088,3730,64,3.038,88.95,-0.027
5100,3785,44,3.041,88.95,0.182
5112,3605,0,2.999,88.95,-0.422
5124,3903,85,3.224,88.95,-0.039
5136,4054,68,3.277,88.95,0.323
5148,4104,37,3.381,88.95,0.190
5160,4161,39,3.244,88.95,0.191
5172,3981,0,3.150,88.95,-0.462
5184,4264,81,3.275,88.95,-0.072
5196,4292,8,3.325,88.95,-0.575
5208,4112,0,3.257,88.95,-0.496
5220,3932,0,3.236,88.95,-0.542
5232,4212,80,3.305,88.95,-0.157
5244,4312,71,3.430,88.95,0.211
5256,4333,6,3.447,88.95,-0.481
5268,4153,0,3.310,88.95,-0.528
5280,4188,10,3.364,88.95,-0.435
5292,4199,3,3.415,88.95,-0.597
5304,4213,4,3.386,88.95,-0.568
5316,4265,15,3.286,88.95,-0.475
5328,4314,14,3.475,88.95,-0.495
5340,4349,10,3.410,88.95,-0.443
5352,4622,78,3.600,89.10,-0.065
5364,4654,9,3.597,89.25,-0.534
5376,4759,30,3.592,89.40,-0.156
5388,4808,14,3.685,89.55,-0.491
5400,4867,17,3.681,89.70,-0.552
5412,4888,6,3.779,89.85,-0.467
5424,4708,0,3.701,90.00,-0.574
5436,4813,30,3.720,89.80,-0.210
5448,4633,0,3.496,89.95,-0.578
5460,4840,59,3.626,89.75,-0.225
5472,4871,9,3.754,89.90,-0.593
5484,4910,11,3.761,89.70,-0.440
5496,4920,3,3.732,89.85,-0.445
5508,4934,4,3.771,90.00,-0.515
5520,4754,0,3.594,89.80,-0.609
5532,4574,0,3.520,89.95,-0.545
5544,4620,13,3.585,89.75,-0.566
5556,4440,0,3.482,89.75,-0.596
5568,4492,15,3.466,89.75,-0.464
5580,4632,40,3.528,89.90,-0.062
5592,4660,8,3.637,89.70,-0.467
5604,4685,7,3.674,89.85,-0.443
5616,4505,0,3.529,90.00,-0.407
5628,4561,16,3.606,89.80,-0.462
5640,4381,0,3.453,89.80,-0.490
5652,4201,0,3.367,89.80,-0.550
5664,4021,0,3.228,89.80,-0.587
5676,3841,0,3.166,89.80,-0.538
5688,3661,0,2.953,89.80,-0.428
5700,3951,83,3.237,89.80,-0.031
5712,4014,18,3.247,89.80,-0.424
5724,3834,0,3.039,89.80,-0.538
5736,3848,4,3.155,89.80,-0.600
5748,3668,0,3.012,89.80,-0.544
5760,3731,18,3.099,89.80,-0.487
5772,3763,9,3.148,89.80,-0.576
5784,3583,0,2.991,89.80,-0.395
5796,3590,2,2.989,89.80,-0.474
5808,3628,11,3.096,89.80,-0.546
5820,3448,0,2.916,89.80,-0.573
5832,3268,0,2.781,89.80,-0.519
5844,3088,0,2.755,89.80,-0.534
5856,3106,5,2.700,89.80,-0.569
5868,3155,14,2.720,89.80,-0.568
5880,2975,0,2.643,89.80,-0.433
5892,3318,98,2.806,89.80,-0.082
5904,3353,10,2.894,89.80,-0.414
5916,3367,4,2.894,89.80,-0.571
5928,3626,74,3.056,89.80,-0.210
5940,3692,19,3.158,89.80,-0.452
5952,3965,78,3.242,89.80,-0.092
5964,3979,4,3.235,89.80,-0.456
5976,3799,0,3.130,89.80,-0.428
5988,3619,0,3.050,89.80,-0.453
6000,3780,46,3.179,89.80,-0.099
6012,3847,19,3.112,89.80,-0.495
6024,4039,55,3.250,89.80,-0.104
6036,4167,71,3.382,89.80,0.258
6048,3987,0,3.164,89.80,-0.582
6060,3807,0,2.997,89.80,-0.452
6072,3627,0,3.034,89.80,-0.587
6084,3634,2,3.003,89.80,-0.437
6096,3454,0,2.983,89.80,-0.466
6108,3274,0,2.813,89.80,-0.439
6120,3295,6,2.899,89.80,-0.442
6132,3568,78,2.932,89.80,-0.078
6144,3582,4,2.989,89.80,-0.543
6156,3592,3,3.026,89.80,-0.488
6168,3412,0,2.853,89.80,-0.534
6180,3472,17,2.928,89.80,-0.522
6192,3292,0,2.869,89.80,-0.503
6204,3446,44,2.927,89.80,-0.146
6216,3266,0,2.847,89.80,-0.501
6228,3301,10,2.807,89.80,-0.543
6240,3304,1,2.917,89.80,-0.425
6252,3357,15,2.810,89.80,-0.509
6264,3420,18,2.861,89.80,-0.489
6276,3434,4,2.816,89.80,-0.420
6288,3742,88,3.076,89.80,-0.046
6300,3770,8,3.137,89.80,-0.432
6312,3590,0,2.976,89.80,-0.549
6324,3410,0,2.821,89.80,-0.474
6336,3567,45,2.924,89.80,-0.086
6348,3581,4,2.973,89.80,-0.515
6360,3401,0,2.903,89.80,-0.451
6372,3221,0,2.795,89.80,-0.576
6384,3393,49,2.853,89.80,-0.206
6396,3456,18,2.960,89.80,-0.512
6408,3459,1,2.971,89.80,-0.416
6420,3494,10,2.959,89.80,-0.445
6432,3314,0,2.789,89.80,-0.422
6444,3545,66,2.986,89.80,-0.073
6456,3566,6,2.937,89.80,-0.453
6468,3612,13,3.010,89.80,-0.442
6480,3432,0,2.954,89.80,-0.470
6492,3701,77,3.147,89.80,-0.092
6504,3786,55,3.050,89.80,0.233
6516,3796,3,3.139,89.80,-0.400
6528,3616,0,3.023,89.80,-0.563
6540,3669,15,3.072,89.80,-0.538
6552,3489,0,2.959,89.80,-0.584
6564,3762,78,3.112,89.80,-0.198
6576,3814,15,3.128,89.80,-0.579
6588,4115,86,3.293,89.80,-0.205
6600,4136,6,3.304,89.80,-0.601
6612,4399,75,3.417,89.80,-0.224
6624,4458,17,3.487,89.80,-0.473
6636,4479,6,3.483,89.80,-0.460
6648,4756,79,3.709,89.95,-0.092
6660,4917,81,3.742,89.75,0.274
6672,4737,0,3.713,89.90,-0.451
6684,4776,11,3.652,89.70,-0.429
6696,4596,0,3.493,89.85,-0.515
6708,4659,18,3.636,90.00,-0.588
6720,4479,0,3.516,90.00,-0.458
6732,4510,9,3.468,89.80,-0.460
6744,4514,1,3.474,89.95,-0.454
6756,4766,72,3.588,89.75,-0.079
6768,4586,0,3.596,89.90,-0.396
6780,4406,0,3.414,89.90,-0.431
6792,4441,10,3.432,89.90,-0.524
6804,4261,0,3.390,89.90,-0.518
6816,4285,7,3.399,89.90,-0.502
6828,4334,14,3.426,89.90,-0.593
6840,4366,9,3.448,89.90,-0.467
6852,4373,2,3.512,89.90,-0.415
6864,4488,33,3.484,89.90,-0.055
6876,4509,6,3.492,89.70,-0.558
6888,4329,0,3.441,89.70,-0.507
6900,4595,76,3.536,89.85,-0.134
6912,4415,0,3.520,89.85,-0.448
6924,4235,0,3.410,89.85,-0.595
6936,4291,16,3.499,89.85,-0.557
6948,4501,60,3.413,90.00,-0.207
6960,4321,0,3.378,90.00,-0.423
6972,4549,65,3.585,89.80,-0.067
6984,4702,69,3.526,89.95,0.322
6996,5109,89,3.842,89.75,0.657
7008,4929,0,3.672,89.90,-0.590
7020,5132,58,3.906,89.70,-0.231
7032,5177,13,3.888,89.85,-0.470
7044,5230,15,4.055,90.00,-0.469
7056,5050,0,3.788,89.80,-0.413
7068,5060,3,3.939,89.95,-0.600
7080,5085,7,3.853,89.75,-0.567
7092,5102,5,3.844,89.90,-0.538
7104,5130,8,3.886,89.70,-0.439
7116,5169,11,3.896,89.85,-0.473
7128,4989,0,3.735,90.00,-0.443
7140,5157,48,3.787,89.80,-0.106
7152,5178,6,3.835,89.95,-0.549
7164,5192,4,3.899,89.75,-0.457
7176,5012,0,3.709,89.90,-0.586
7188,5211,57,3.921,89.70,-0.216
7200,5031,0,3.758,89.85,-0.595
7212,4851,0,3.687,90.00,-0.439
7224,4897,13,3.742,89.80,-0.397
7236,4717,0,3.636,89.95,-0.511
7248,4537,0,3.515,89.75,-0.586
7260,4593,16,3.692,89.90,-0.521
7272,4413,0,3.558,89.90,-0.459
7284,4479,19,3.548,89.90,-0.471
7296,4497,5,3.458,89.90,-0.562
7308,4521,7,3.562,89.70,-0.533
7320,4770,71,3.680,89.85,-0.169
7332,4590,0,3.579,90.00,-0.504
7344,4410,0,3.538,90.00,-0.569
7356,4599,54,3.637,89.80,-0.207
7368,4623,7,3.573,89.95,-0.488
7380,4795,49,3.741,89.75,-0.129
7392,4830,10,3.660,89.90,-0.454
7404,4949,34,3.826,89.70,-0.074
7416,5121,81,3.847,89.85,0.307
7428,5145,7,3.960,90.00,-0.514
7440,5149,1,3.925,89.80,-0.526
7452,5180,9,3.848,89.95,-0.524
7464,5000,0,3.698,89.75,-0.521
7476,4820,0,3.678,89.90,-0.573
7488,4880,17,3.748,89.70,-0.421
7500,4700,0,3.648,89.85,-0.494
7512,4763,18,3.659,89.65,-0.525
7524,4808,13,3.636,89.80,-0.409
7536,4628,0,3.625,89.95,-0.523
7548,4852,64,3.733,89.75,-0.152
7560,4908,16,3.679,89.90,-0.506
7572,4954,13,3.747,89.70,-0.588
7584,5192,68,3.784,89.85,-0.205
7596,5199,2,3.862,89.65,-0.443
7608,5019,0,3.799,89.80,-0.597
7620,5050,9,3.789,89.95,-0.437
7632,4870,0,3.662,89.75,-0.419
7644,4690,0,3.597,89.90,-0.488
7656,4953,75,3.707,89.70,-0.113
7668,4773,0,3.662,89.85,-0.505
7680,5102,94,3.805,89.65,-0.125
7692,5158,16,3.877,89.80,-0.524
7704,4978,0,3.742,89.95,-0.511
7716,4981,1,3.816,89.75,-0.437
7728,4801,0,3.810,89.90,-0.469
7740,4621,0,3.506,89.70,-0.489
7752,4684,18,3.575,89.85,-0.446
7764,4733,14,3.649,89.65,-0.569
7776,5041,88,3.765,89.80,-0.206
7788,5045,1,3.784,89.95,-0.478
7800,5073,8,3.849,89.75,-0.448
7812,4893,0,3.652,89.90,-0.530
7824,4900,2,3.687,89.70,-0.486
7836,4942,12,3.796,89.85,-0.540
7848,4762,0,3.646,89.65,-0.501
7860,4765,1,3.688,89.80,-0.443
7872,5056,83,3.741,89.95,-0.083
7884,4876,0,3.722,89.75,-0.589
7896,4879,1,3.662,89.90,-0.513
7908,4893,4,3.814,89.70,-0.513
7920,4935,12,3.710,89.85,-0.604
7932,4755,0,3.617,89.65,-0.395
7944,5084,94,3.799,89.80,-0.039
7956,5151,19,3.876,89.95,-0.437
7968,5448,85,3.996,89.75,-0.055
7980,5642,89,4.093,89.90,0.299
7992,5684,12,4.156,89.70,-0.571
8004,5691,2,4.215,89.85,-0.547
8016,5702,3,4.211,89.65,-0.457
8028,5740,11,4.172,89.80,-0.435
